data_segment,lookback_window,entry_threshold,exit_threshold,stop_threshold,total_return,annualized_return,sharpe_ratio,maximum_drawdown,number_of_trades,total_cost
test,90,2.0,0.0,3.5,-0.015940694392044708,-0.005101027024484783,-0.07126198432981033,-0.0839443330327917,10,2501.094623962973
test,90,2.0,0.0,4.0,-0.011824295032082932,-0.0031147283784132007,-0.04345121869123649,-0.08011239837224515,8,2244.4771759108085
test,90,2.0,0.5,3.0,-0.026114863281770817,-0.010500611600347542,-0.16313453289998267,-0.09912668737025154,13,2674.2980129327098
test,90,2.0,0.5,3.5,-0.01924982193643332,-0.007168885424323701,-0.11095165536531112,-0.0945465290658708,10,2293.3402369210735
test,90,2.0,0.5,4.0,-0.015147264923602966,-0.005186698839917847,-0.0801513807257414,-0.09075894424553776,8,2037.585724528256
test,90,2.0,1.0,3.0,-0.07278440777470108,-0.03427504511615642,-0.7144648549540322,-0.11711883180562821,14,2644.7229279940566
test,90,2.0,1.0,3.5,-0.06624834603941465,-0.03102305506725811,-0.6431106846179335,-0.11089528911649915,11,2267.847665554892
test,90,2.0,1.0,4.0,-0.0623423876395276,-0.029088306421640953,-0.6017980459832936,-0.10717609247665971,9,2011.4577917646718
test,90,2.5,0.0,3.0,-0.05251925456368178,-0.023057487628703632,-0.33392474780180137,-0.08857812163156764,12,2636.962490978111
test,90,2.5,0.0,3.5,-0.045840341161993536,-0.01976787449920936,-0.2852756151423651,-0.08394433303279314,9,2261.8683021208294
test,90,2.5,0.0,4.0,-0.0418490144334539,-0.017810742505135924,-0.256654667797767,-0.08011239837224648,7,2008.3029961577517
test,90,2.5,0.5,3.0,-0.055705378219677026,-0.02508817084219417,-0.4050639152166839,-0.09912668737025188,12,2429.3612130996917
test,90,2.5,0.5,3.5,-0.04904892421264129,-0.021805368386380808,-0.35066272412470295,-0.09454652906587124,9,2055.2215906101474
test,90,2.5,0.5,4.0,-0.045071019245513044,-0.019852288311333344,-0.3187483491091013,-0.09075894424553854,7,1802.5089567710788
